Valor;Bairro;Area;Quartos;Vagas;Banheiros;m2
1170000.0;Asa Sul;86;3;1;2;13605
2400000.0;Asa Norte;173;4;2;4;13873
540000.0;Lago Norte;68;2;2;2;7941
1450000.0;Lago Sul;400;4;6;5;3625
693096.0;Asa Norte;39;1;1;1;17772
1401000.0;Asa Sul;130;4;1;3;10777
3859216.0;Setor Noroeste;195;4;4;5;19791
1807113.0;Asa Norte;127;3;2;4;14229
389000.0;Aguas Claras;44;1;1;1;8841
1280000.0;Asa Sul;160;4;1;3;8000
540000.0;Lago Norte;68;2;2;2;7941
582794.0;Asa Sul;48;1;1;1;12142
485000.0;Lago Norte;58;2;1;1;8362
3303632.0;Setor Noroeste;306;4;5;5;10796
2062131.0;Setor Noroeste;147;4;3;6;14028
3582585.0;Setor Noroeste;248;3;4;6;14446
1100000.0;Setor Noroeste;88;2;2;2;12500
1828104.0;Setor Noroeste;144;2;3;4;12695
2718435.0;Setor Noroeste;174;4;3;6;15623
2305825.0;Setor Noroeste;169;2;3;5;13644
1450000.0;Setor Noroeste;109;3;2;4;13303
2200000.0;Lago Norte;523;5;5;8;4207
3299484.0;Setor Noroeste;292;4;4;4;11300
540000.0;Aguas Claras;75;3;1;2;7200
4529596.0;Setor Noroeste;332;4;4;8;13643
3842949.0;Setor Noroeste;262;3;3;6;14668
2101895.0;Setor Noroeste;130;3;2;5;16168
1280000.0;Asa Sul;160;4;1;3;8000
974240.0;Setor Noroeste;71;2;1;3;13722
2429749.0;Setor Noroeste;165;4;3;6;14726
1412000.0;Setor Noroeste;103;3;2;3;13709
1060500.0;Setor Noroeste;73;2;1;3;14527
1945500.0;Setor Noroeste;152;4;3;6;12799
1907673.0;Setor Noroeste;110;3;2;4;17342
700000.0;Aguas Claras;118;3;2;3;5932
2050320.0;Setor Noroeste;154;3;3;5;13314
3818712.0;Setor Noroeste;303;4;4;6;12603
3996984.0;Setor Noroeste;293;4;4;6;13642
1200000.0;Asa Norte;128;3;1;3;9375
550000.0;Aguas Claras;73;3;1;2;7534
3299484.0;Setor Noroeste;292;4;4;4;11300
1280000.0;Asa Sul;160;4;1;3;8000
1290000.0;Setor Noroeste;86;2;2;2;15000
630000.0;Asa Norte;59;1;1;1;10678
360000.0;Setor Sudoeste;41;1;1;1;8780
320000.0;Aguas Claras;33;1;1;1;9697
280000.0;Asa Norte;35;1;1;1;8000
290000.0;Aguas Claras;60;2;1;1;4833
3083000.0;Setor Noroeste;219;4;4;6;14078
590000.0;Aguas Claras;90;3;1;3;6556
310000.0;Aguas Claras;50;1;1;1;6200
4000000.0;Lago Sul;312;5;3;1;12821
474707.0;Aguas Claras;68;2;2;2;6981
700000.0;Aguas Claras;83;3;1;3;8434
195000.0;Asa Sul;45;2;1;1;4333
3083000.0;Setor Noroeste;219;4;4;6;14078
550000.0;Aguas Claras;350;3;4;3;1571
290000.0;Aguas Claras;60;2;1;1;4833
1400000.0;Setor Noroeste;128;3;2;3;10938
750000.0;Aguas Claras;92;3;2;3;8152
430000.0;Aguas Claras;53;2;2;2;8113
620000.0;Aguas Claras;74;2;1;2;8378
1350000.0;Asa Sul;280;4;4;5;4821
450000.0;Asa Sul;150;3;4;3;3000
450000.0;Aguas Claras;92;3;1;2;4891
550000.0;Lago Norte;2000;6;4;4;275
470000.0;Aguas Claras;64;2;1;2;7344
1100000.0;Asa Norte;144;3;1;2;7639
410000.0;Lago Norte;180;3;4;2;2278
460000.0;Aguas Claras;74;2;2;2;6216
680000.0;Aguas Claras;107;3;1;3;6355
505000.0;Aguas Claras;66;2;1;2;7652
389000.0;Aguas Claras;44;1;1;1;8841
1350000.0;Setor Sudoeste;105;3;1;3;12857
225000.0;Setor Sudoeste;26;1;2;1;8654
795000.0;Park Way;800;3;4;4;994
655000.0;Aguas Claras;89;2;2;3;7360
649900.0;Aguas Claras;110;3;2;3;5908
520000.0;Aguas Claras;74;3;1;2;7027
148000.0;Aguas Claras;34;1;1;1;4353
460000.0;Aguas Claras;370;4;5;1;1243
500000.0;Park Way;200;3;8;3;2500
1267722.0;Aguas Claras;158;4;3;3;8024
950000.0;Setor Sudoeste;87;3;1;2;10920
1150000.0;Asa Norte;102;3;1;3;11275
1099000.0;Lago Sul;445;5;2;7;2470
1250000.0;Setor Noroeste;86;2;2;2;14535
1200000.0;Setor Noroeste;100;3;1;3;12000
1399000.0;Lago Sul;500;4;4;6;2798
450000.0;Aguas Claras;70;3;1;2;6429
240000.0;Asa Norte;34;1;1;1;7059
1290000.0;Asa Norte;118;3;1;3;10932
585000.0;Setor Sudoeste;55;1;1;1;10636
470719.0;Aguas Claras;68;2;1;2;6922
900000.0;Aguas Claras;184;2;2;3;4891
3500000.0;Park Way;1386;14;10;18;2525
300000.0;Asa Sul;25;1;1;1;12000
645000.0;Aguas Claras;81;3;2;2;7963
590000.0;Aguas Claras;79;2;1;2;7468
1411624.0;Setor Noroeste;103;3;2;3;13705
267965.0;Asa Norte;29;1;1;1;9240
620000.0;Aguas Claras;115;3;2;2;5391
790000.0;Setor Sudoeste;100;2;2;2;7900
1100000.0;Setor Noroeste;76;2;1;3;14474
660000.0;Aguas Claras;91;3;1;3;7253
410000.0;Aguas Claras;47;2;1;1;8723
399900.0;Aguas Claras;57;2;1;2;7016
439000.0;Aguas Claras;227;5;3;3;1934
570000.0;Lago Norte;68;2;1;2;8382
520000.0;Aguas Claras;64;3;2;2;8125
1184358.0;Setor Noroeste;99;2;2;3;11963
505000.0;Aguas Claras;70;2;1;2;7214
850000.0;Setor Sudoeste;77;2;1;3;11039
380000.0;Aguas Claras;64;1;1;2;5938
499000.0;Aguas Claras;68;3;2;2;7338
1160000.0;Aguas Claras;145;4;2;5;8000
115000.0;Aguas Claras;37;1;1;1;3108
700000.0;Setor Sudoeste;68;2;1;2;10294
320000.0;Asa Sul;34;1;2;1;9412
1150000.0;Asa Norte;116;3;1;3;9914
390000.0;Asa Norte;33;1;1;1;11818
305000.0;Aguas Claras;33;1;1;1;9242
250000.0;Asa Norte;75;1;1;1;3333
320000.0;Asa Sul;27;1;1;1;11852
750000.0;Asa Norte;59;2;2;2;12712
1690000.0;Park Way;380;4;2;5;4447
630000.0;Aguas Claras;109;3;2;2;5780
660000.0;Lago Norte;190;4;2;4;3474
315000.0;Setor Sudoeste;27;1;1;1;11667
240000.0;Asa Norte;35;1;1;1;6857
539900.0;Aguas Claras;74;3;1;2;7296
550000.0;Lago Norte;54;1;1;1;10185
1380000.0;Asa Norte;230;4;4;2;6000
490000.0;Aguas Claras;80;2;1;2;6125
1050000.0;Lago Sul;312;5;4;3;3365
772414.0;Aguas Claras;101;3;2;3;7648
429900.0;Lago Norte;45;1;1;1;9553
295000.0;Setor Noroeste;164;4;3;6;1799
1404908.0;Setor Noroeste;103;3;2;4;13640
700000.0;Aguas Claras;96;3;2;3;7292
1750000.0;Asa Norte;173;4;4;4;10116
300000.0;Asa Sul;30;1;1;1;10000
640000.0;Aguas Claras;82;3;1;3;7805
680000.0;Setor Sudoeste;68;2;1;2;10000
800000.0;Asa Norte;76;2;1;3;10526
399900.0;Aguas Claras;59;1;1;2;6778
2200000.0;Park Way;2500;5;6;5;880
1200000.0;Setor Sudoeste;94;3;1;3;12766
690000.0;Aguas Claras;107;3;2;1;6449
1404908.0;Setor Noroeste;103;3;2;3;13640
850000.0;Lago Sul;350;3;2;3;2429
215000.0;Asa Norte;27;1;1;1;7963
